"Mobile","Full Name","Tag Name","DOB","PosRefNum","Postal Code","Street Address","State","Country"
"623-555-0141","Timothy Chandler","Suh Dude","04/16/1973 12:00:00 AM",,"00000","428 Meadow Ln","Oconee","US"
"505-555-0116","Margot Sheppard","Suh Dude","12/25/1985 12:00:00 AM","b5ae361d998c","00000","813 Desert Willow Dr","New Troy","US"
"799-555-0121","Delilah Hubbard","Suh Dude","03/24/1973 12:00:00 AM","53d2f06b255b","00000","3017 County Road 2106","Mickewa","US"
"175-555-0184","Alistair Ferguson","Suh Dude","10/02/1980 12:00:00 AM",,"00000","5078 Little St","Euphoria","US"
"110-555-0189","Emilio Taylor","Suh Dude","02/13/1980 12:00:00 AM","07d66966fc5c","00000","7272 Judy Ln","Moosylvania","US"
"569-555-0198","Myles Hail","Suh Dude","12/11/2015 12:00:00 AM","1da234d1ac22","00000","6453 Park St","Delmarva","US"
"124-555-0149","Cataleya Ochoa","Suh Dude","01/29/1998 12:00:00 AM","1ee19bd7bc8b","00000","1791 County Road 2106","Mickewa","US"
"379-555-0157","Dawson Kane","Suh Dude","06/14/1971 12:00:00 AM",,"00000","5612 Arnold Paul Rd","Ambarino ","US"
"113-555-0114","Matthew Frye","Suh Dude","05/28/1974 12:00:00 AM",,"00000","9959 Jack St","Temperance","US"
"824-555-0142","Omari Ali","Suh Dude","02/24/2007 12:00:00 AM","1a83ebafab06","00000","4690 Dodson St","Ambarino ","US"
"310-555-0138","Leila Gaines","Suh Dude","04/12/2002 12:00:00 AM","e96bd9071269","00000","1123 County Road 3120","Liberty","US"
"153-555-0198","Evangeline Kramer","Suh Dude","02/18/1992 12:00:00 AM",,"00000","675 E Terrell St","Statesota ","US"
"399-555-0139","Naomi Glover","Suh Dude","12/30/1997 12:00:00 AM","a5bab7943258","00000","8835 Clay St","North Washington","US"
"503-555-0170","Jedidiah Fitzpatrick","Suh Dude","04/25/1999 12:00:00 AM","242dd7c9c26d","00000","1508 Ave B","New Texas","US"
"788-555-0142","Axel George","Suh Dude","07/01/1980 12:00:00 AM","7697990b1e09","00000","439 Ave B","New Troy","US"
"356-555-0108","Daniela Cox","Suh Dude","05/14/2002 12:00:00 AM","3ec4971d2aea","00000","2589 Wildwood St","Delmarva","US"
"315-555-0147","Margot Lim","Suh Dude","08/25/2016 12:00:00 AM","f8e613b9f878","00000","2074 Curry Dr","Dorado ","US"
"437-555-0109","Salvatore Scott","Suh Dude","10/11/2012 12:00:00 AM","82cd8fac7953","00000","5714 Tower St","Euphoria","US"
"739-555-0186","Everly Stout","Suh Dude","10/12/1996 12:00:00 AM","5b13c6f6f75e","00000","3107 W Tyler St","San Andreas","US"
"679-555-0154","Rene Rush","Suh Dude","11/28/2002 12:00:00 AM",,"00000","5287 Cypress Ln","Columbia","US"
"365-555-0111","Layla Vu","Suh Dude","03/08/2002 12:00:00 AM",,"00000","3406 Glen Ln","North Washington","US"
"291-555-0192","Luke Winters","Suh Dude","05/14/2005 12:00:00 AM","a5f944155556","00000","1769 Debbie Dr","Statesota ","US"
"947-555-0110","Isaiah Garrett","Suh Dude","03/28/1993 12:00:00 AM",,"00000","821 Water Crest Cir","Oconee","US"
"106-555-0141","Ryann Powell","Suh Dude","09/03/2020 12:00:00 AM","381ee57fce42","00000","1769 E Goshen St","Ambarino ","US"
"210-555-0157","Ivory Wallace","Suh Dude","08/16/2011 12:00:00 AM",,"00000","6079 E Dallas St","Alderney","US"
"587-555-0127","Marshall Delarosa","Suh Dude","06/21/1986 12:00:00 AM","5e60b9afc0a1","00000","7299 Slaughter St","Delmarva","US"
"519-555-0171","Zyon Mcclure","Suh Dude","10/30/1979 12:00:00 AM","6a7d44850605","00000","3499 Meadow Ln","Liberty","US"
"661-555-0176","Blaine Ware","Suh Dude","11/13/2009 12:00:00 AM","8d1e88eecf69","00000","8873 Slaughter St","New Hanover","US"
"267-555-0163","Brennan Alexander","Suh Dude","04/13/1971 12:00:00 AM",,"00000","2497 W Church St","Alderney","US"
"902-555-0150","Alan Wallace","Suh Dude","01/19/1972 12:00:00 AM","8b6e112342bd","00000","3452 Little St","West Dakota","US"
"140-555-0192","Deacon Ibarra","Suh Dude","11/03/1975 12:00:00 AM","c13347f152d6","00000","4355 N Trade Days Blvd","Temperance","US"
